Architecture,Configuration,Event File Dir,Commit,best_acc1,best_epoch,test_top1
resnet34,batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet34/batch-256-lr-5e-3-SGD/2024-05-10 23:18:03,res34-5e-3,50.5859375,239.0,53.24
resnet34,batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet34/batch-256-lr-5e-3-SGD/2024-05-10 22:13:51,res34-5e-3,51.171875,203.0,52.69
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:28:09,debug-torchrun,29.9375,2.0,30.69
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:21:49,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:12:24,debug-torchrun,25.53125,2.0,25.84
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:10:43,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:04:36,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 19:00:21,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:57:23,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:52:13,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:48:39,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:46:08,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:43:03,debug-torchrun,,,
resnet18,debug-batch-256-lr-5e-3-SGD,/data/Pein/Pytorch/Ascend-NPU-Parallel-Training/3-tb_logs/events/resnet18/debug-batch-256-lr-5e-3-SGD/2024-05-10 18:39:28,debug-torchrun,,,
